RANK,이름,타율,OPS,0.1WAR,WRC+,0.3WRC+
1,손아섭,0.339,0.836,0.462,137.5,0.4125
2,구자욱,0.336,0.901,0.544,148.9,0.4467
3,김혜성,0.335,0.842,0.698,142.6,0.4278
4,홍창기,0.332,0.856,0.791,161.8,0.4854
5,에레디아,0.323,0.846,0.411,138.1,0.4143
6,김선빈,0.32,0.739,0.269,114.1,0.3423
7,박건우,0.319,0.877,0.392,144.9,0.4347
8,박민우,0.316,0.786,0.525,124.7,0.3741
9,오스틴,0.313,0.893,0.574,160.2,0.4806
10,전준우,0.312,0.852,0.379,143.1,0.4293
11,양의지,0.305,0.87,0.61,146.4,0.4392
12,최형우,0.302,0.887,0.393,152.4,0.4572
13,박찬호,0.301,0.734,0.471,109.2,0.3276
14,문보경,0.301,0.825,0.445,139.1,0.4173
15,노시환,0.298,0.929,0.682,152.7,0.4581
16,최정,0.297,0.936,0.485,151.6,0.4548
17,김민혁,0.297,0.741,0.385,112.9,0.3387
18,황재균,0.295,0.779,0.324,119.1,0.3573
19,문성주,0.294,0.764,0.476,130.1,0.3903
20,김현수,0.293,0.747,0.219,115.6,0.3468
